Time: 2021-06-29T21:12:12.342Z , Type: Pricing , BuyOrSell: sell , Price: 1005.0 , Quantity: 400.0
Time: 2021-06-29T21:12:12.343Z , Type: Pricing , BuyOrSell: sell , Price: 1006.0 , Quantity: 500.0
Time: 2021-06-29T21:12:12.343Z , Type: Pricing , BuyOrSell: sell , Price: 1007.0 , Quantity: 600.0
Time: 2021-06-29T21:12:12.343Z , Type: Pricing , BuyOrSell: sell , Price: 1008.0 , Quantity: 700.0
Time: 2021-06-29T21:12:12.344Z , Type: Pricing , BuyOrSell: sell , Price: 1009.0 , Quantity: 800.0
Time: 2021-06-29T21:12:12.344Z , Type: Pricing , BuyOrSell: sell , Price: 1010.0 , Quantity: 900.0
Time: 2021-06-29T21:12:12.344Z , Type: Pricing , BuyOrSell: sell , Price: 1011.0 , Quantity: 1000.0
Time: 2021-06-29T21:12:12.345Z , Type: Pricing , BuyOrSell: buy , Price: 1002.0 , Quantity: 100.0
Time: 2021-06-29T21:12:12.345Z , Type: Pricing , BuyOrSell: buy , Price: 1001.0 , Quantity: 200.0
Time: 2021-06-29T21:12:12.345Z , Type: Pricing , BuyOrSell: buy , Price: 1000.0 , Quantity: 300.0
Time: 2021-06-29T21:12:12.345Z , Type: Pricing , BuyOrSell: buy , Price: 999.0 , Quantity: 400.0
Time: 2021-06-29T21:12:12.346Z , Type: Pricing , BuyOrSell: buy , Price: 998.0 , Quantity: 500.0
Time: 2021-06-29T21:12:12.346Z , Type: Pricing , BuyOrSell: buy , Price: 997.0 , Quantity: 600.0
Time: 2021-06-29T21:12:12.346Z , Type: Pricing , BuyOrSell: buy , Price: 996.0 , Quantity: 700.0
Time: 2021-06-29T21:12:12.347Z , Type: Pricing , BuyOrSell: buy , Price: 995.0 , Quantity: 800.0
Time: 2021-06-29T21:12:12.347Z , Type: Pricing , BuyOrSell: buy , Price: 994.0 , Quantity: 900.0
Time: 2021-06-29T21:12:12.347Z , Type: Pricing , BuyOrSell: buy , Price: 993.0 , Quantity: 1000.0
Time: 2021-06-29T21:12:13.353Z , Type: MidPrice , Price: 1000.0
Time: 2021-06-29T21:12:13.353Z , Type: Pricing , BuyOrSell: sell , Price: 1000.0 , Quantity: 100.0
Time: 2021-06-29T21:12:13.354Z , Type: Pricing , BuyOrSell: sell , Price: 1001.0 , Quantity: 200.0
Time: 2021-06-29T21:12:13.354Z , Type: Pricing , BuyOrSell: sell , Price: 1002.0 , Quantity: 300.0
Time: 2021-06-29T21:12:13.355Z , Type: Pricing , BuyOrSell: sell , Price: 1003.0 , Quantity: 400.0
Time: 2021-06-29T21:12:13.355Z , Type: Pricing , BuyOrSell: sell , Price: 1004.0 , Quantity: 500.0
Time: 2021-06-29T21:12:13.356Z , Type: Pricing , BuyOrSell: sell , Price: 1005.0 , Quantity: 600.0
